species_tax_id	cell_diameter	cell_length	doubling_h	growth_tmp	optimum_tmp	optimum_ph	genome_size	gc_content	coding_genes	rRNA16S_genes	tRNA_genes	gram_stain	sporulation	motility	range_salinity	facultative_respiration	anaerobic_respiration	aerobic_respiration	mesophilic_range_tmp	thermophilic_range_tmp	psychrophilic_range_tmp	bacillus_cell_shape	coccus_cell_shape	filament_cell_shape	coccobacillus_cell_shape	vibrio_cell_shape	spiral_cell_shape
417745	-0.22184874961635637	0.2304489213782739	NA	28	27.5	7.5	NA	NA	NA	NA	NA	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
45071	NA	NA	NA	37	NA	NA	4169881	NA	NA	NA	NA	0	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
143361	-0.3979400086720376	0.17609125905568124	NA	37	37	NA	1931011.6	35.4	1649	4	47	0	0	NA	NA	0	1	0	1	0	0	1	0	0	0	0	0
37636	-0.3010299956639812	0.17609125905568124	0.10380372095595687	68.15	69.125	NA	2342602.111	65.238	2417	1	48	0	0	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	0
1337876	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
158822	NA	NA	NA	36	NA	NA	4949867.643	54.525	4398.111	7	82	0	NA	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
1408164	NA	NA	NA	NA	NA	NA	2859706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
93683	-0.09528445472131904	NA	NA	29	NA	NA	4492810	66.3	NA	NA	NA	0	NA	1	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
442341	-0.3010299956639812	0.07918124604762482	NA	NA	30	7.2	4357925	NA	NA	NA	NA	0	NA	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
1126833	NA	NA	NA	30	NA	NA	5749967.75	52.5	4882	9	89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
73781	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65499	NA	NA	NA	28.5	NA	NA	9441135	NA	NA	NA	NA	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
83302	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
370976	0.0	0.2304489213782739	NA	25	30	7.5	NA	NA	NA	NA	NA	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
89968	-0.3010299956639812	0.3010299956639812	NA	30	NA	NA	5060948	NA	NA	NA	NA	0	NA	0	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
312168	NA	NA	NA	35	NA	NA	5388996	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1353889	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1413	-0.4559319556497244	0.3979400086720376	NA	32	37	9.5	4681671.6	36.4	4192.667	10	79	1	1	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
53372	0.0	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
688867	NA	NA	NA	28	NA	NA	7241272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
